venta_id,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento,total
V000045,C0116,P014,2024-09-20,4,111,0.0,444.0
V000046,C0003,P044,2023-05-12,5,432,0.1,1944.0
V000047,C0200,P002,2024-06-02,4,50,0.0,200.0
V000048,C0129,P012,2024-04-19,3,415,0.1,1120.5
V000049,C0145,P025,2024-07-02,1,266,0.05,252.7
V000050,C0150,P008,2024-12-15,5,442,0.05,2099.5
V000051,C0045,P029,2023-10-28,2,148,0.0,296.0
V000052,C0075,P039,2023-12-06,4,185,0.0,740.0
V000053,C0176,P010,2023-03-20,2,496,0.05,942.4
V000054,C0125,P016,2023-01-06,4,167,0.1,601.2
V000055,C0168,P012,2024-01-21,1,415,0.05,394.25
V000056,C0047,P015,2023-12-15,5,223,0.05,1059.25
V000057,C0059,P046,2024-03-31,1,130,0.0,130.0
V000058,C0043,P009,2023-05-16,5,331,0.1,1489.5
V000059,C0007,P029,2024-05-23,3,148,0.1,399.6
V000060,C0111,P002,2024-12-26,5,50,0.1,225.0
V000061,C0095,P041,2024-07-10,1,388,0.05,368.6
V000062,C0122,P003,2023-10-13,4,59,0.1,212.4
V000063,C0180,P028,2023-03-10,1,459,0.0,459.0
V000064,C0068,P043,2024-01-02,4,346,0.05,1314.8
V000065,C0130,P016,2023-05-21,1,167,0.0,167.0
V000066,C0042,P006,2024-08-07,2,90,0.1,162.0
V000067,C0051,P029,2024-11-06,5,148,0.05,703.0
V000068,C0143,P017,2024-05-04,1,86,0.1,77.4
V000069,C0048,P038,2024-02-28,1,134,0.1,120.6
V000070,C0011,P015,2023-07-27,2,223,0.05,423.7
V000071,C0035,P048,2024-12-19,4,354,0.0,1416.0
V000072,C0096,P004,2024-06-06,1,499,0.0,499.0
V000073,C0135,P043,2023-09-30,5,346,0.1,1557.0
V000074,C0003,P020,2023-05-21,3,171,0.0,513.0
V000075,C0123,P014,2023-07-13,4,111,0.05,421.8
V000076,C0123,P014,2023-04-12,2,111,0.05,210.9
V000077,C0142,P041,2024-10-04,5,388,0.0,1940.0
V000078,C0038,P043,2023-05-11,5,346,0.0,1730.0
V000079,C0195,P005,2024-05-04,5,172,0.0,860.0
V000080,C0145,P011,2023-09-10,4,326,0.1,1173.6
V000081,C0093,P015,2023-09-26,4,223,0.0,892.0
V000082,C0193,P028,2023-02-13,3,459,0.05,1308.15
V000083,C0008,P013,2024-11-18,3,274,0.05,780.9
V000084,C0116,P039,2023-08-19,2,185,0.05,351.5
V000085,C0158,P033,2024-02-21,2,100,0.0,200.0
V000086,C0154,P034,2023-10-22,4,478,0.0,1912.0
V000087,C0111,P039,2023-02-01,4,185,0.0,740.0
V000088,C0144,P006,2024-12-22,2,90,0.1,162.0
V000089,C0011,P024,2023-10-12,4,99,0.05,376.2
V000090,C0119,P042,2023-12-16,3,147,0.1,396.9
V000091,C0155,P021,2023-11-12,4,159,0.1,572.4
V000092,C0125,P025,2024-12-05,5,266,0.1,1197.0
V000093,C0144,P044,2024-09-11,5,432,0.1,1944.0
V000094,C0147,P009,2024-04-25,3,331,0.0,993.0
V000095,C0178,P032,2023-12-17,5,276,0.1,1242.0
V000096,C0158,P041,2023-03-06,3,388,0.1,1047.6
V000097,C0069,P018,2023-10-23,5,167,0.1,751.5
V000098,C0059,P021,2023-11-28,2,159,0.1,286.2
V000099,C0049,P023,2023-11-10,2,463,0.05,879.7
V000100,C0133,P044,2024-02-26,3,432,0.05,1231.2
V000101,C0154,P028,2024-11-16,2,459,0.1,826.2
V000102,C0036,P050,2024-12-05,3,176,0.0,528.0
V000103,C0176,P044,2024-01-06,5,432,0.1,1944.0
V000104,C0083,P014,2024-04-18,5,111,0.1,499.5
V000105,C0045,P008,2023-10-26,2,442,0.0,884.0
V000106,C0154,P041,2023-12-12,2,388,0.1,698.4
V000107,C0128,P024,2023-09-09,4,99,0.05,376.2
V000108,C0184,P018,2024-08-04,4,167,0.1,601.2
V000109,C0088,P010,2023-09-18,5,496,0.0,2480.0
V000110,C0065,P008,2024-01-21,5,442,0.05,2099.5
V000111,C0001,P005,2023-07-13,3,172,0.05,490.2
V000112,C0117,P036,2024-08-20,3,258,0.1,696.6
V000113,C0146,P027,2023-07-23,3,81,0.0,243.0
V000114,C0110,P041,2024-05-16,5,388,0.0,1940.0
V000115,C0122,P028,2024-02-01,3,459,0.0,1377.0
V000116,C0036,P012,2023-05-06,3,415,0.0,1245.0
V000117,C0011,P005,2023-10-12,1,172,0.1,154.8
V000118,C0138,P018,2023-05-11,1,167,0.1,150.3
V000119,C0176,P028,2023-07-29,1,459,0.1,413.1
V000120,C0146,P004,2023-01-11,1,499,0.05,474.05
V000121,C0160,P047,2023-10-11,3,91,0.05,259.35
V000122,C0062,P015,2023-08-14,5,223,0.1,1003.5
V000123,C0147,P049,2023-10-01,5,256,0.05,1216.0
V000124,C0061,P010,2023-01-24,5,496,0.1,2232.0
V000125,C0082,P049,2023-08-14,2,256,0.05,486.4
V000126,C0053,P035,2024-09-23,1,435,0.0,435.0
V000127,C0024,P037,2024-09-20,3,492,0.05,1402.2
V000128,C0032,P007,2023-09-10,4,467,0.0,1868.0
V000129,C0062,P030,2024-09-16,2,121,0.0,242.0
V000130,C0057,P018,2023-04-20,1,167,0.0,167.0
V000131,C0172,P020,2024-03-21,5,171,0.1,769.5
V000132,C0099,P029,2023-08-07,2,148,0.0,296.0
V000133,C0021,P027,2024-12-30,4,81,0.05,307.8
V000134,C0039,P048,2024-01-29,5,354,0.05,1681.5
V000135,C0006,P035,2023-10-06,2,435,0.1,783.0
V000136,C0126,P028,2024-06-20,3,459,0.05,1308.15
V000137,C0006,P032,2024-06-03,5,276,0.05,1311.0
V000138,C0114,P039,2023-07-30,3,185,0.0,555.0
V000139,C0181,P005,2024-09-07,4,172,0.0,688.0
V000140,C0104,P014,2023-08-12,3,111,0.05,316.35
V000141,C0104,P018,2023-09-12,3,167,0.0,501.0
V000142,C0098,P039,2024-04-25,1,185,0.1,166.5
V000143,C0145,P016,2024-10-22,1,167,0.05,158.65
V000144,C0183,P002,2024-02-03,5,50,0.05,237.5
V000145,C0093,P025,2023-01-21,4,266,0.05,1010.8
V000146,C0186,P029,2024-03-10,1,148,0.05,140.6
V000147,C0066,P023,2023-08-23,3,463,0.05,1319.55
V000148,C0067,P031,2023-06-11,2,286,0.0,572.0
V000149,C0150,P042,2024-06-13,5,147,0.1,661.5
V000150,C0051,P003,2024-01-26,3,59,0.0,177.0
V000151,C0195,P015,2023-04-03,2,223,0.0,446.0
V000152,C0158,P045,2024-07-20,1,349,0.05,331.55
V000153,C0021,P034,2023-09-19,4,478,0.0,1912.0
V000154,C0076,P010,2024-03-22,3,496,0.0,1488.0
V000155,C0059,P027,2023-11-16,2,81,0.1,145.8
V000156,C0018,P015,2023-04-05,5,223,0.0,1115.0
V000157,C0147,P042,2023-06-30,3,147,0.1,396.9
V000158,C0121,P028,2023-06-21,2,459,0.0,918.0
V000159,C0051,P039,2024-12-30,1,185,0.0,185.0
V000160,C0198,P007,2023-10-03,2,467,0.1,840.6
V000161,C0032,P050,2024-04-18,5,176,0.05,836.0
V000162,C0186,P012,2023-06-06,5,415,0.0,2075.0
V000163,C0063,P001,2023-11-30,2,326,0.05,619.4
V000164,C0132,P002,2024-05-27,5,50,0.0,250.0
V000165,C0101,P009,2023-06-21,1,331,0.05,314.45
V000166,C0040,P009,2023-09-05,5,331,0.05,1572.25
V000167,C0147,P018,2024-04-18,2,167,0.05,317.3
V000168,C0045,P046,2023-04-23,2,130,0.0,260.0
V000169,C0164,P039,2023-02-13,1,185,0.05,175.75
V000170,C0035,P001,2023-10-22,4,326,0.1,1173.6
V000171,C0126,P044,2024-02-09,5,432,0.1,1944.0
V000172,C0186,P026,2024-06-21,4,394,0.1,1418.4
V000173,C0134,P023,2024-09-12,5,463,0.1,2083.5
V000174,C0192,P026,2023-09-15,5,394,0.05,1871.5
V000175,C0043,P033,2024-05-26,2,100,0.0,200.0
V000176,C0053,P005,2024-09-06,3,172,0.05,490.2
V000177,C0030,P039,2024-02-27,4,185,0.05,703.0
V000178,C0077,P024,2023-01-25,3,99,0.05,282.15
V000179,C0051,P049,2023-01-17,2,256,0.05,486.4
V000180,C0199,P041,2023-05-31,4,388,0.1,1396.8
V000181,C0195,P048,2023-05-24,3,354,0.05,1008.9
V000182,C0063,P010,2023-01-17,2,496,0.05,942.4
V000183,C0065,P032,2024-02-13,4,276,0.1,993.6
V000184,C0120,P024,2023-07-29,4,99,0.0,396.0
V000185,C0107,P004,2023-09-09,2,499,0.1,898.2
V000186,C0026,P019,2024-01-19,1,490,0.05,465.5
V000187,C0120,P025,2024-10-31,4,266,0.0,1064.0
V000188,C0154,P019,2023-12-30,5,490,0.1,2205.0
V000189,C0123,P003,2024-05-05,1,59,0.05,56.05
V000190,C0085,P013,2023-11-14,5,274,0.0,1370.0
V000191,C0003,P007,2023-05-30,5,467,0.05,2218.25
V000192,C0016,P002,2024-06-05,2,50,0.1,90.0
V000193,C0134,P024,2023-01-25,4,99,0.05,376.2
V000194,C0086,P040,2024-04-16,3,196,0.1,529.2
V000195,C0084,P019,2024-01-12,1,490,0.1,441.0
V000196,C0150,P008,2024-03-24,4,442,0.05,1679.6
V000197,C0196,P033,2023-02-07,5,100,0.1,450.0
V000198,C0192,P037,2024-06-02,1,492,0.0,492.0
V000199,C0097,P022,2024-11-07,4,345,0.1,1242.0
V000200,C0185,P041,2023-10-01,2,388,0.0,776.0
V000201,C0196,P013,2023-04-06,5,274,0.05,1301.5
V000202,C0071,P026,2023-08-14,1,394,0.0,394.0
V000203,C0078,P001,2023-05-17,2,326,0.05,619.4
V000204,C0146,P013,2024-03-03,2,274,0.05,520.6
V000205,C0141,P037,2023-09-19,2,492,0.0,984.0
V000206,C0017,P011,2023-02-08,3,326,0.1,880.2
V000207,C0124,P005,2023-08-13,4,172,0.0,688.0
V000208,C0173,P032,2023-04-27,1,276,0.1,248.4
V000209,C0118,P022,2024-09-23,3,345,0.05,983.25
V000210,C0067,P037,2024-07-25,5,492,0.1,2214.0
V000211,C0085,P041,2024-11-11,3,388,0.1,1047.6
V000212,C0040,P043,2024-11-29,5,346,0.1,1557.0
V000213,C0175,P018,2024-08-31,2,167,0.0,334.0
V000214,C0006,P028,2024-05-09,3,459,0.05,1308.15
V000215,C0131,P020,2024-05-25,4,171,0.0,684.0
V000216,C0152,P020,2023-09-21,1,171,0.0,171.0
V000217,C0143,P015,2023-08-13,2,223,0.05,423.7
V000218,C0040,P007,2024-12-15,5,467,0.1,2101.5
V000219,C0093,P027,2024-02-14,4,81,0.1,291.6
V000220,C0085,P020,2023-03-25,2,171,0.0,342.0
V000221,C0160,P031,2024-11-09,1,286,0.05,271.7
V000222,C0015,P028,2024-02-20,4,459,0.0,1836.0
V000223,C0107,P031,2023-02-01,3,286,0.05,815.1
V000224,C0031,P020,2023-08-30,4,171,0.05,649.8
V000225,C0102,P038,2023-08-08,4,134,0.05,509.2
V000226,C0061,P019,2023-09-07,5,490,0.0,2450.0
V000227,C0087,P011,2024-09-04,3,326,0.1,880.2
V000228,C0097,P006,2023-04-14,1,90,0.0,90.0
V000229,C0189,P001,2023-06-03,5,326,0.05,1548.5
V000230,C0127,P006,2024-12-15,2,90,0.0,180.0
V000231,C0001,P031,2023-07-01,1,286,0.0,286.0
V000232,C0075,P024,2024-11-26,3,99,0.1,267.3
V000233,C0147,P006,2023-02-11,2,90,0.05,171.0
V000234,C0085,P007,2023-02-09,5,467,0.0,2335.0
V000235,C0011,P040,2023-01-01,2,196,0.0,392.0
V000236,C0101,P032,2023-04-21,3,276,0.1,745.2
V000237,C0075,P040,2024-06-22,1,196,0.1,176.4
V000238,C0073,P009,2023-03-08,4,331,0.1,1191.6
V000239,C0067,P011,2024-10-20,5,326,0.0,1630.0
V000240,C0128,P039,2023-08-18,3,185,0.0,555.0
V000241,C0101,P022,2024-11-11,2,345,0.1,621.0
V000242,C0122,P029,2024-01-03,5,148,0.05,703.0
V000243,C0076,P042,2024-12-23,4,147,0.05,558.6
V000244,C0061,P020,2024-11-13,3,171,0.0,513.0
V000245,C0062,P030,2023-06-02,2,121,0.0,242.0
V000246,C0021,P004,2024-08-24,1,499,0.0,499.0
V000247,C0028,P029,2023-05-10,2,148,0.1,266.4
V000248,C0019,P019,2023-12-07,3,490,0.1,1323.0
V000249,C0062,P046,2024-05-08,4,130,0.05,494.0
V000250,C0032,P042,2024-11-15,5,147,0.1,661.5
V000251,C0151,P020,2024-12-27,2,171,0.05,324.9
V000252,C0168,P003,2024-01-08,2,59,0.05,112.1
V000253,C0050,P023,2023-03-09,1,463,0.0,463.0
V000254,C0065,P025,2023-07-11,4,266,0.05,1010.8
V000255,C0169,P026,2024-12-27,3,394,0.05,1122.9
V000256,C0035,P021,2024-12-25,4,159,0.1,572.4
V000257,C0081,P049,2024-08-03,2,256,0.0,512.0
V000258,C0043,P017,2024-03-01,1,86,0.05,81.7
V000259,C0086,P010,2023-02-13,2,496,0.0,992.0
V000260,C0132,P039,2024-05-22,3,185,0.0,555.0
V000261,C0185,P012,2024-03-03,1,415,0.0,415.0
V000262,C0162,P024,2024-12-29,3,99,0.1,267.3
V000263,C0096,P022,2023-01-03,1,345,0.05,327.75
V000264,C0198,P033,2023-07-26,2,100,0.0,200.0
V000265,C0086,P044,2024-11-05,5,432,0.05,2052.0
V000266,C0136,P026,2024-06-25,5,394,0.1,1773.0
V000267,C0157,P013,2024-03-21,1,274,0.05,260.3
V000268,C0185,P038,2024-07-14,3,134,0.1,361.8
V000269,C0194,P030,2023-02-15,3,121,0.05,344.85
V000270,C0005,P027,2024-08-26,1,81,0.05,76.95
V000271,C0107,P030,2024-09-15,5,121,0.0,605.0
V000272,C0081,P038,2023-08-17,4,134,0.05,509.2
V000273,C0077,P042,2023-02-09,2,147,0.1,264.6
V000274,C0149,P017,2024-02-09,3,86,0.0,258.0
V000275,C0136,P015,2023-02-11,2,223,0.05,423.7
V000276,C0062,P026,2023-01-03,4,394,0.0,1576.0
V000277,C0020,P018,2024-07-02,5,167,0.05,793.25
V000278,C0005,P033,2024-10-17,3,100,0.1,270.0
V000279,C0170,P004,2024-05-23,5,499,0.0,2495.0
V000280,C0137,P043,2024-07-19,3,346,0.0,1038.0
V000281,C0061,P025,2024-07-28,3,266,0.0,798.0
V000282,C0140,P042,2023-07-25,1,147,0.1,132.3
V000283,C0110,P006,2023-12-03,2,90,0.05,171.0
V000284,C0006,P007,2023-05-13,3,467,0.0,1401.0
V000285,C0169,P019,2024-11-18,3,490,0.05,1396.5
V000286,C0042,P028,2023-07-28,2,459,0.05,872.1
V000287,C0025,P049,2023-10-23,3,256,0.1,691.2
V000288,C0178,P036,2024-10-16,1,258,0.0,258.0
V000289,C0040,P008,2023-01-04,2,442,0.0,884.0
V000290,C0200,P050,2023-10-04,2,176,0.0,352.0
V000291,C0196,P029,2023-12-12,1,148,0.1,133.2
V000292,C0197,P050,2024-07-01,4,176,0.1,633.6
V000293,C0032,P031,2024-11-15,5,286,0.05,1358.5
V000294,C0022,P023,2023-04-05,3,463,0.0,1389.0
V000295,C0100,P013,2024-07-12,3,274,0.1,739.8
V000296,C0005,P040,2023-03-30,1,196,0.0,196.0
V000297,C0038,P022,2023-06-14,5,345,0.1,1552.5
V000298,C0137,P013,2024-05-05,3,274,0.0,822.0
V000299,C0088,P025,2024-03-18,1,266,0.1,239.4
V000300,C0199,P026,2023-08-06,2,394,0.0,788.0
V000301,C0159,P041,2024-05-10,5,388,0.1,1746.0
V000302,C0179,P005,2023-08-21,4,172,0.1,619.2
V000303,C0198,P030,2024-02-01,3,121,0.1,326.7
V000304,C0095,P013,2023-02-12,1,274,0.05,260.3
V000305,C0049,P001,2024-08-07,3,326,0.0,978.0
V000306,C0171,P024,2024-10-26,3,99,0.05,282.15
V000307,C0192,P001,2023-11-19,4,326,0.0,1304.0
V000308,C0035,P007,2024-08-31,5,467,0.1,2101.5
V000309,C0197,P008,2024-08-30,2,442,0.05,839.8
V000310,C0127,P036,2024-07-18,3,258,0.0,774.0
V000311,C0160,P003,2024-10-15,3,59,0.0,177.0
V000312,C0080,P035,2024-03-11,3,435,0.0,1305.0
V000313,C0028,P004,2023-11-04,2,499,0.1,898.2
V000314,C0067,P025,2023-06-06,3,266,0.05,758.1
V000315,C0106,P005,2024-06-27,3,172,0.0,516.0
V000316,C0128,P020,2023-11-04,4,171,0.0,684.0
V000317,C0007,P019,2023-12-02,2,490,0.1,882.0
V000318,C0024,P009,2024-06-21,5,331,0.1,1489.5
V000319,C0026,P024,2023-04-27,1,99,0.05,94.05
V000320,C0197,P022,2023-11-22,1,345,0.0,345.0
V000321,C0148,P014,2024-08-19,1,111,0.0,111.0
V000322,C0013,P018,2023-11-15,5,167,0.1,751.5
V000323,C0021,P046,2024-07-16,5,130,0.1,585.0
V000324,C0140,P020,2024-07-19,3,171,0.0,513.0
V000325,C0104,P049,2023-02-11,3,256,0.05,729.6
V000326,C0024,P043,2023-12-08,3,346,0.1,934.2
V000327,C0014,P009,2023-03-12,1,331,0.1,297.9
V000328,C0002,P007,2024-05-03,1,467,0.05,443.65
V000329,C0093,P026,2024-07-08,1,394,0.05,374.3
V000330,C0041,P038,2024-07-28,2,134,0.0,268.0
V000331,C0086,P011,2023-07-09,5,326,0.1,1467.0
V000332,C0027,P041,2023-01-18,4,388,0.0,1552.0
V000333,C0187,P046,2023-05-10,2,130,0.1,234.0
V000334,C0175,P033,2023-09-02,4,100,0.0,400.0
V000335,C0175,P034,2023-10-07,5,478,0.1,2151.0
V000336,C0199,P013,2024-05-19,5,274,0.0,1370.0
V000337,C0016,P028,2023-08-05,5,459,0.1,2065.5
V000338,C0100,P013,2024-06-24,3,274,0.05,780.9
V000339,C0035,P026,2024-08-27,4,394,0.1,1418.4
V000340,C0074,P018,2023-09-13,5,167,0.0,835.0
V000341,C0181,P027,2023-09-19,5,81,0.05,384.75
V000342,C0001,P008,2024-02-20,5,442,0.0,2210.0
V000343,C0192,P017,2024-12-08,2,86,0.1,154.8
V000344,C0048,P042,2024-08-17,1,147,0.1,132.3
V000345,C0064,P009,2024-12-29,1,331,0.0,331.0
V000346,C0064,P048,2023-02-17,1,354,0.1,318.6
V000347,C0102,P009,2023-08-12,3,331,0.0,993.0
V000348,C0148,P001,2024-10-29,2,326,0.1,586.8
V000349,C0029,P045,2023-01-15,4,349,0.0,1396.0
V000350,C0088,P014,2024-04-02,2,111,0.0,222.0
V000351,C0186,P042,2023-05-07,3,147,0.05,418.95
V000352,C0106,P025,2024-11-06,5,266,0.1,1197.0
V000353,C0071,P029,2024-11-10,2,148,0.1,266.4
V000354,C0038,P014,2024-02-03,3,111,0.0,333.0
V000355,C0171,P043,2023-09-06,4,346,0.05,1314.8
V000356,C0071,P028,2023-02-20,3,459,0.0,1377.0
V000357,C0111,P030,2023-06-12,1,121,0.0,121.0
V000358,C0192,P030,2024-06-20,3,121,0.0,363.0
V000359,C0106,P008,2023-10-22,2,442,0.05,839.8
V000360,C0072,P012,2024-03-12,1,415,0.05,394.25
V000361,C0196,P034,2023-03-08,5,478,0.05,2270.5
V000362,C0090,P020,2024-10-21,2,171,0.05,324.9
V000363,C0052,P045,2023-10-10,4,349,0.05,1326.2
V000364,C0070,P011,2024-05-06,2,326,0.05,619.4
V000365,C0035,P002,2023-08-29,4,50,0.05,190.0
V000366,C0057,P036,2024-06-05,2,258,0.0,516.0
V000367,C0069,P047,2024-01-15,5,91,0.05,432.25
V000368,C0177,P007,2023-10-06,5,467,0.05,2218.25
V000369,C0192,P026,2023-01-21,1,394,0.1,354.6
V000370,C0028,P016,2023-10-17,3,167,0.0,501.0
V000371,C0194,P043,2024-07-23,5,346,0.1,1557.0
V000372,C0136,P012,2024-10-04,4,415,0.1,1494.0
V000373,C0001,P010,2023-01-21,3,496,0.1,1339.2
V000374,C0198,P036,2024-03-05,5,258,0.05,1225.5
V000375,C0001,P031,2023-07-18,2,286,0.0,572.0
V000376,C0188,P020,2024-03-11,3,171,0.1,461.7
V000377,C0070,P038,2023-07-24,4,134,0.1,482.4
V000378,C0155,P037,2024-07-31,3,492,0.0,1476.0
V000379,C0098,P031,2024-10-01,2,286,0.0,572.0
V000380,C0084,P003,2023-12-11,3,59,0.05,168.15
V000381,C0195,P016,2024-06-29,3,167,0.05,475.95
V000382,C0059,P028,2024-07-29,1,459,0.1,413.1
V000383,C0020,P007,2024-08-01,2,467,0.0,934.0
V000384,C0106,P003,2023-07-29,4,59,0.05,224.2
V000385,C0137,P048,2023-03-16,1,354,0.1,318.6
V000386,C0141,P029,2023-05-19,2,148,0.1,266.4
V000387,C0055,P014,2024-01-15,1,111,0.0,111.0
V000388,C0066,P001,2024-08-24,4,326,0.0,1304.0
V000389,C0072,P042,2024-08-25,4,147,0.0,588.0
V000390,C0024,P022,2023-08-31,5,345,0.0,1725.0
V000391,C0024,P017,2024-09-04,5,86,0.1,387.0
V000392,C0162,P049,2023-09-04,1,256,0.05,243.2
V000393,C0177,P018,2024-07-08,2,167,0.1,300.6
V000394,C0194,P045,2023-01-07,4,349,0.0,1396.0
V000395,C0106,P022,2023-04-13,1,345,0.1,310.5
V000396,C0150,P015,2024-08-12,3,223,0.0,669.0
V000397,C0110,P045,2023-12-24,3,349,0.05,994.65
V000398,C0143,P045,2023-06-18,1,349,0.1,314.1
V000399,C0025,P041,2024-08-08,1,388,0.1,349.2
V000400,C0071,P013,2023-06-26,2,274,0.0,548.0
V000401,C0189,P003,2023-07-03,2,59,0.0,118.0
V000402,C0051,P009,2023-10-30,4,331,0.0,1324.0
V000403,C0170,P029,2023-08-20,5,148,0.0,740.0
V000404,C0009,P008,2023-07-29,3,442,0.1,1193.4
V000405,C0194,P049,2023-11-03,4,256,0.0,1024.0
V000406,C0177,P005,2023-06-12,4,172,0.05,653.6
V000407,C0002,P011,2024-01-19,1,326,0.1,293.4
V000408,C0045,P044,2024-03-06,1,432,0.0,432.0
V000409,C0196,P011,2023-08-05,1,326,0.0,326.0
V000410,C0107,P007,2024-03-21,2,467,0.1,840.6
V000411,C0043,P018,2024-12-31,5,167,0.1,751.5
V000412,C0143,P044,2024-06-27,5,432,0.1,1944.0
V000413,C0085,P029,2023-06-11,5,148,0.1,666.0
V000414,C0170,P037,2023-08-09,4,492,0.05,1869.6
V000415,C0045,P040,2024-03-31,3,196,0.05,558.6
V000416,C0067,P039,2023-08-08,1,185,0.0,185.0
V000417,C0104,P019,2024-01-20,5,490,0.05,2327.5
V000418,C0024,P038,2023-04-29,2,134,0.0,268.0
V000419,C0059,P048,2024-12-18,5,354,0.0,1770.0
V000420,C0144,P031,2024-02-09,5,286,0.1,1287.0
V000421,C0189,P009,2023-02-24,5,331,0.0,1655.0
V000422,C0138,P015,2023-05-10,2,223,0.0,446.0
V000423,C0131,P039,2024-07-10,1,185,0.0,185.0
V000424,C0138,P036,2023-03-27,3,258,0.1,696.6
V000425,C0138,P006,2023-09-23,3,90,0.05,256.5
V000426,C0141,P009,2023-07-02,1,331,0.05,314.45
V000427,C0126,P014,2023-05-24,2,111,0.1,199.8
V000428,C0163,P006,2024-06-14,2,90,0.1,162.0
V000429,C0114,P005,2024-03-08,5,172,0.0,860.0
V000430,C0189,P049,2023-11-26,4,256,0.0,1024.0
V000431,C0175,P018,2023-12-12,1,167,0.0,167.0
V000432,C0196,P001,2023-01-28,1,326,0.1,293.4
V000433,C0008,P006,2023-11-27,2,90,0.1,162.0
V000434,C0164,P038,2023-03-25,1,134,0.1,120.6
V000435,C0049,P031,2023-04-11,4,286,0.1,1029.6
V000436,C0166,P024,2023-02-28,5,99,0.0,495.0
V000437,C0185,P010,2023-12-28,3,496,0.05,1413.6
V000438,C0173,P008,2024-05-31,3,442,0.05,1259.7
V000439,C0067,P011,2023-03-29,5,326,0.0,1630.0
V000440,C0154,P043,2024-08-13,5,346,0.05,1643.5
V000441,C0074,P032,2024-06-18,1,276,0.0,276.0
V000442,C0045,P049,2023-10-23,5,256,0.1,1152.0
V000443,C0011,P021,2024-01-24,4,159,0.0,636.0
V000444,C0130,P028,2024-04-23,1,459,0.0,459.0
V000445,C0154,P004,2023-01-03,3,499,0.0,1497.0
V000446,C0097,P023,2024-10-13,3,463,0.0,1389.0
V000447,C0093,P047,2024-06-12,3,91,0.1,245.7
V000448,C0039,P026,2024-01-22,5,394,0.0,1970.0
V000449,C0061,P027,2023-06-02,3,81,0.1,218.7
V000450,C0059,P021,2024-01-14,1,159,0.05,151.05
V000451,C0080,P011,2024-08-13,4,326,0.1,1173.6
V000452,C0011,P036,2023-02-10,4,258,0.0,1032.0
V000453,C0105,P014,2023-09-04,4,111,0.1,399.6
V000454,C0158,P036,2024-04-16,5,258,0.05,1225.5
V000455,C0005,P050,2024-10-01,5,176,0.0,880.0
V000456,C0033,P005,2023-03-04,3,172,0.0,516.0
V000457,C0032,P026,2023-09-16,5,394,0.0,1970.0
V000458,C0143,P034,2023-01-06,3,478,0.1,1290.6
V000459,C0188,P017,2024-10-21,2,86,0.1,154.8
